Area,Year,Variable,Variable Value
Portugal,1968-01-01,Element,Total Population - Both sexes
Nigeria,1968-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1968-01-01,Element,Total Population - Both sexes
United States of America,1968-01-01,Element,Total Population - Both sexes
India,1968-01-01,Element,Total Population - Both sexes
Portugal,1969-01-01,Element,Total Population - Both sexes
Nigeria,1969-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1969-01-01,Element,Total Population - Both sexes
United States of America,1969-01-01,Element,Total Population - Both sexes
India,1969-01-01,Element,Total Population - Both sexes
Portugal,1970-01-01,Element,Total Population - Both sexes
Nigeria,1970-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1970-01-01,Element,Total Population - Both sexes
United States of America,1970-01-01,Element,Total Population - Both sexes
India,1970-01-01,Element,Total Population - Both sexes
Portugal,1971-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1971-01-01,Element,Total Population - Both sexes
Nigeria,1971-01-01,Element,Total Population - Both sexes
United States of America,1971-01-01,Element,Total Population - Both sexes
India,1971-01-01,Element,Total Population - Both sexes
Portugal,1972-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1972-01-01,Element,Total Population - Both sexes
Nigeria,1972-01-01,Element,Total Population - Both sexes
United States of America,1972-01-01,Element,Total Population - Both sexes
India,1972-01-01,Element,Total Population - Both sexes
Portugal,1973-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1973-01-01,Element,Total Population - Both sexes
Nigeria,1973-01-01,Element,Total Population - Both sexes
United States of America,1973-01-01,Element,Total Population - Both sexes
India,1973-01-01,Element,Total Population - Both sexes
Portugal,1974-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1974-01-01,Element,Total Population - Both sexes
Nigeria,1974-01-01,Element,Total Population - Both sexes
United States of America,1974-01-01,Element,Total Population - Both sexes
India,1974-01-01,Element,Total Population - Both sexes
Portugal,1975-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1975-01-01,Element,Total Population - Both sexes
Nigeria,1975-01-01,Element,Total Population - Both sexes
United States of America,1975-01-01,Element,Total Population - Both sexes
India,1975-01-01,Element,Total Population - Both sexes
Portugal,1976-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1976-01-01,Element,Total Population - Both sexes
Nigeria,1976-01-01,Element,Total Population - Both sexes
United States of America,1976-01-01,Element,Total Population - Both sexes
India,1976-01-01,Element,Total Population - Both sexes
Portugal,1977-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1977-01-01,Element,Total Population - Both sexes
Nigeria,1977-01-01,Element,Total Population - Both sexes
United States of America,1977-01-01,Element,Total Population - Both sexes
India,1977-01-01,Element,Total Population - Both sexes
Portugal,1978-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1978-01-01,Element,Total Population - Both sexes
Nigeria,1978-01-01,Element,Total Population - Both sexes
United States of America,1978-01-01,Element,Total Population - Both sexes
India,1978-01-01,Element,Total Population - Both sexes
Portugal,1979-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1979-01-01,Element,Total Population - Both sexes
Nigeria,1979-01-01,Element,Total Population - Both sexes
United States of America,1979-01-01,Element,Total Population - Both sexes
India,1979-01-01,Element,Total Population - Both sexes
Portugal,1980-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1980-01-01,Element,Total Population - Both sexes
Nigeria,1980-01-01,Element,Total Population - Both sexes
United States of America,1980-01-01,Element,Total Population - Both sexes
India,1980-01-01,Element,Total Population - Both sexes
Portugal,1981-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1981-01-01,Element,Total Population - Both sexes
Nigeria,1981-01-01,Element,Total Population - Both sexes
United States of America,1981-01-01,Element,Total Population - Both sexes
India,1981-01-01,Element,Total Population - Both sexes
Portugal,1982-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1982-01-01,Element,Total Population - Both sexes
Nigeria,1982-01-01,Element,Total Population - Both sexes
United States of America,1982-01-01,Element,Total Population - Both sexes
India,1982-01-01,Element,Total Population - Both sexes
Portugal,1983-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1983-01-01,Element,Total Population - Both sexes
Nigeria,1983-01-01,Element,Total Population - Both sexes
United States of America,1983-01-01,Element,Total Population - Both sexes
India,1983-01-01,Element,Total Population - Both sexes
Portugal,1984-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1984-01-01,Element,Total Population - Both sexes
Nigeria,1984-01-01,Element,Total Population - Both sexes
United States of America,1984-01-01,Element,Total Population - Both sexes
India,1984-01-01,Element,Total Population - Both sexes
Portugal,1985-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1985-01-01,Element,Total Population - Both sexes
Nigeria,1985-01-01,Element,Total Population - Both sexes
United States of America,1985-01-01,Element,Total Population - Both sexes
India,1985-01-01,Element,Total Population - Both sexes
Portugal,1986-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1986-01-01,Element,Total Population - Both sexes
Nigeria,1986-01-01,Element,Total Population - Both sexes
United States of America,1986-01-01,Element,Total Population - Both sexes
India,1986-01-01,Element,Total Population - Both sexes
Portugal,1987-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1987-01-01,Element,Total Population - Both sexes
Nigeria,1987-01-01,Element,Total Population - Both sexes
United States of America,1987-01-01,Element,Total Population - Both sexes
India,1987-01-01,Element,Total Population - Both sexes
Portugal,1988-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1988-01-01,Element,Total Population - Both sexes
Nigeria,1988-01-01,Element,Total Population - Both sexes
United States of America,1988-01-01,Element,Total Population - Both sexes
India,1988-01-01,Element,Total Population - Both sexes
Portugal,1989-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1989-01-01,Element,Total Population - Both sexes
Nigeria,1989-01-01,Element,Total Population - Both sexes
United States of America,1989-01-01,Element,Total Population - Both sexes
India,1989-01-01,Element,Total Population - Both sexes
Portugal,1990-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1990-01-01,Element,Total Population - Both sexes
Nigeria,1990-01-01,Element,Total Population - Both sexes
United States of America,1990-01-01,Element,Total Population - Both sexes
India,1990-01-01,Element,Total Population - Both sexes
Portugal,1991-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1991-01-01,Element,Total Population - Both sexes
Nigeria,1991-01-01,Element,Total Population - Both sexes
United States of America,1991-01-01,Element,Total Population - Both sexes
India,1991-01-01,Element,Total Population - Both sexes
Portugal,1992-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1992-01-01,Element,Total Population - Both sexes
Nigeria,1992-01-01,Element,Total Population - Both sexes
United States of America,1992-01-01,Element,Total Population - Both sexes
India,1992-01-01,Element,Total Population - Both sexes
Portugal,1993-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1993-01-01,Element,Total Population - Both sexes
Nigeria,1993-01-01,Element,Total Population - Both sexes
United States of America,1993-01-01,Element,Total Population - Both sexes
India,1993-01-01,Element,Total Population - Both sexes
Portugal,1994-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1994-01-01,Element,Total Population - Both sexes
Nigeria,1994-01-01,Element,Total Population - Both sexes
United States of America,1994-01-01,Element,Total Population - Both sexes
India,1994-01-01,Element,Total Population - Both sexes
Portugal,1995-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1995-01-01,Element,Total Population - Both sexes
Nigeria,1995-01-01,Element,Total Population - Both sexes
United States of America,1995-01-01,Element,Total Population - Both sexes
India,1995-01-01,Element,Total Population - Both sexes
Portugal,1996-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1996-01-01,Element,Total Population - Both sexes
Nigeria,1996-01-01,Element,Total Population - Both sexes
United States of America,1996-01-01,Element,Total Population - Both sexes
India,1996-01-01,Element,Total Population - Both sexes
Portugal,1997-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1997-01-01,Element,Total Population - Both sexes
Nigeria,1997-01-01,Element,Total Population - Both sexes
United States of America,1997-01-01,Element,Total Population - Both sexes
India,1997-01-01,Element,Total Population - Both sexes
Portugal,1998-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1998-01-01,Element,Total Population - Both sexes
Nigeria,1998-01-01,Element,Total Population - Both sexes
United States of America,1998-01-01,Element,Total Population - Both sexes
India,1998-01-01,Element,Total Population - Both sexes
Portugal,1999-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,1999-01-01,Element,Total Population - Both sexes
Nigeria,1999-01-01,Element,Total Population - Both sexes
United States of America,1999-01-01,Element,Total Population - Both sexes
India,1999-01-01,Element,Total Population - Both sexes
Portugal,2000-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,2000-01-01,Element,Total Population - Both sexes
Nigeria,2000-01-01,Element,Total Population - Both sexes
United States of America,2000-01-01,Element,Total Population - Both sexes
India,2000-01-01,Element,Total Population - Both sexes
Portugal,2001-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,2001-01-01,Element,Total Population - Both sexes
Nigeria,2001-01-01,Element,Total Population - Both sexes
United States of America,2001-01-01,Element,Total Population - Both sexes
India,2001-01-01,Element,Total Population - Both sexes
Portugal,2002-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,2002-01-01,Element,Total Population - Both sexes
Nigeria,2002-01-01,Element,Total Population - Both sexes
United States of America,2002-01-01,Element,Total Population - Both sexes
India,2002-01-01,Element,Total Population - Both sexes
Portugal,2003-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,2003-01-01,Element,Total Population - Both sexes
Nigeria,2003-01-01,Element,Total Population - Both sexes
United States of America,2003-01-01,Element,Total Population - Both sexes
India,2003-01-01,Element,Total Population - Both sexes
Portugal,2004-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,2004-01-01,Element,Total Population - Both sexes
Nigeria,2004-01-01,Element,Total Population - Both sexes
United States of America,2004-01-01,Element,Total Population - Both sexes
India,2004-01-01,Element,Total Population - Both sexes
Portugal,2005-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,2005-01-01,Element,Total Population - Both sexes
Nigeria,2005-01-01,Element,Total Population - Both sexes
United States of America,2005-01-01,Element,Total Population - Both sexes
India,2005-01-01,Element,Total Population - Both sexes
Portugal,2006-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,2006-01-01,Element,Total Population - Both sexes
Nigeria,2006-01-01,Element,Total Population - Both sexes
United States of America,2006-01-01,Element,Total Population - Both sexes
India,2006-01-01,Element,Total Population - Both sexes
Portugal,2007-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,2007-01-01,Element,Total Population - Both sexes
Nigeria,2007-01-01,Element,Total Population - Both sexes
United States of America,2007-01-01,Element,Total Population - Both sexes
India,2007-01-01,Element,Total Population - Both sexes
Portugal,2008-01-01,Element,Total Population - Both sexes
United Kingdom of Great Britain and Northern Ireland,2008-01-01,Element,Total Population - Both sexes
Nigeria,2008-01-01,Element,Total Population - Both sexes
United States of America,2008-01-01,Element,Total Population - Both sexes
